top - 13:19:43 up 18 days, 18:47,  1 user,  load average: 0.00, 0.00, 0.00
Tasks: 103 total,   2 running, 101 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.4%us,  0.2%sy,  0.0%ni, 98.4%id,  0.9%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:    248776k total,   242836k used,     5940k free,     5396k buffers
Swap:  1048572k total,   147300k used,   901272k free,    15940k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                   
 3916 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 bnx2fc_thread/0                                                           
 3920 root      20   0  2204   92   80 S  0.0  0.0   0:17.96 fcoemon                                                                   
 3944 rpcuser   20   0  2840   40   40 S  0.0  0.0   0:00.00 rpc.statd                                                                 
 4005 root      20   0  2020   24   24 S  0.0  0.0   0:00.00 acpid                                                                     
 4029 root      20   0 31180  556  396 S  0.0  0.2   0:27.67 automount                                                                 
 4101 root      20   0 31940  632  520 S  0.0  0.3   6:21.85 VBoxService                                                               
 4123 root      20   0  8632  324  232 S  0.0  0.1   0:00.12 sshd                                                                      
 4136 root      20   0  318m 181m  460 S  0.0 74.8  28:03.17 clamd                                                                     
 4180 root      20   0  5124   44   44 S  0.0  0.0   0:00.10 mysqld_safe                                                               
 4285 mysql     20   0  132m  948  128 S  0.0  0.4   6:46.92 mysqld                                                                    
 4386 root      20   0 12636  260  180 S  0.0  0.1   0:16.09 master                                                                    
 4393 postfix   20   0 13680  452  376 S  0.0  0.2   0:05.32 qmgr                                                                      
 4415 root      20   0 13860   48   48 S  0.0  0.0   0:00.01 abrtd                                                                     
 4426 root      20   0 29304  260  232 S  0.0  0.1   1:14.60 httpd                                                                     
 4438 root      20   0  5692  396  320 S  0.0  0.2   0:34.54 crond                                                                     
 4462 root      20   0  2644   56   44 S  0.0  0.0   0:00.12 atd                                                                       
 4488 root      20   0  2008   40   40 S  0.0  0.0   0:00.02 mingetty                                                                  
 4490 root      20   0  2008   40   40 S  0.0  0.0   0:00.01 mingetty                                                                  
 4492 root      20   0  2008   40   40 S  0.0  0.0   0:00.01 mingetty                                                                  
 4494 root      20   0  2008   40   40 S  0.0  0.0   0:00.00 mingetty                                                                  
 4496 root      20   0  2008   40   40 S  0.0  0.0   0:00.00 mingetty                                                                  
 4498 root      20   0  2008   40   40 S  0.0  0.0   0:00.01 mingetty                                                                  
19793 apache    20   0 29304  136  132 S  0.0  0.1   0:00.00 httpd                                                                     
19794 apache    20   0 29304  136  132 S  0.0  0.1   0:00.00 httpd                                                                     
19795 apache    20   0 29304  136  132 S  0.0  0.1   0:00.00 httpd                                                                     
19796 apache    20   0 29304  136  132 S  0.0  0.1   0:00.00 httpd                                                                     
19797 apache    20   0 29304  136  132 S  0.0  0.1   0:00.04 httpd                                                                     
19798 apache    20   0 29304  136  132 S  0.0  0.1   0:00.00 httpd                                                                     
19799 apache    20   0 29304  136  132 S  0.0  0.1   0:00.00 httpd                                                                     
19800 apache    20   0 29304  136  132 S  0.0  0.1   0:00.00 httpd                                                                     
23381 postfix   20   0 12712 2532 1916 S  0.0  1.0   0:00.02 pickup                                                                    
23410 root      20   0 11576 3224 2504 S  0.0  1.3   0:00.06 sshd                                                                      
23412 t552      20   0 11708 1992 1252 S  0.0  0.8   0:00.44 sshd                                                                      
23413 t552      20   0  6560 1896 1488 S  0.0  0.8   0:00.31 bash                                                                      
23504 t552      20   0  2716  984  768 R  0.0  0.4   0:00.01 top                                                                       

